,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
0,55144-1000,Industrials,95000.0,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector; and collaborations with The Infectious Disease Research Institute and Duke Human Vaccine Institute to create a vaccine candidate with potential to provide protection against multiple variants of SARS-CoV-2. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",St. Paul,651-733-1110,MN,United States,[],http://www.3m.com,1.0,3M Center,Specialty Industrial Machinery,203.41,204.0,180.77043,0.028956294,0.6029,,205.1208,,2029625.0,,203.41,198.45486,5.89,204.0,,2029625.0,,,,5.92,1621468800.0,0.956149,,,203.01,2.0,USD,20.914858,1415207.0,,,,118473981952.0,,,2398450.0,3.5944777,203.01,204.6,,1000.0,1415207.0,208.95,19.29934,,2.86,142.51,204.55,False,0.029000001,1100.0,205.1208,NYQ,3M Company,3M Company,America/New_York,EDT,False,-14400000,EQUITY,MMM,finmb_289194,us_market,,4.019,,0.17294,14.105,0.36919677,,10.59,,579675008.0,,,23.737,10020016.0,0.0173,,1609372800.0,0.67632,5699999744.0,9.772,1.48,0.41299164,8.610187,0.00121,1672444800.0,1617148800.0,4.54,1617148800.0,577049074.0,132462977024.0,,1064880000.0,2:1,,1613001600.0,,0.242,1619740800.0,2.58,,0.0173,10624406.0,,,,204.38,https://logo.clearbit.com/3m.com,,,,,,
1,53224-9508,Industrials,13900.0,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; residential and commercial boilers for space heating applications in hospitals, schools, hotels, and other commercial buildings; and water treatment products, including on-the-go filtration bottles, point-of-use carbon and reverse osmosis products, point-of-entry water softeners, and whole-home water filtration products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, combi-boilers, solar tank units, and air purification products. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. The company was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",Milwaukee,414 359 4000,WI,United States,[],http://www.aosmith.com,1.0,11270 West Park Place,Specialty Industrial Machinery,71.06,71.17,60.717464,0.014072615,0.41669998,,72.05,,915300.0,,71.06,68.81715,1.0,71.17,,915300.0,,,,1.04,1619654400.0,1.04385,,,70.81,2.0,USD,29.89171,728457.0,,,,11515926528.0,,,1131892.0,3.8039,70.81,71.8,,800.0,728457.0,73.05,23.923332,,1.44,41.73,71.78,False,0.0145000005,800.0,72.05,NYQ,A.O. Smith Corporation,A. O. Smith Corporation,America/New_York,EDT,False,-14400000,EQUITY,AOS,finmb_997111,us_market,,3.635,,0.12911999,19.066,0.64988506,,3.0,,134467008.0,,,11.523,4950034.0,0.0308,,1609372800.0,0.97828,390900000.0,2.401,0.26,0.41299164,6.2284126,0.008909999,1672444800.0,1617148800.0,4.55,1617148800.0,131492285.0,11004944384.0,,1475712000.0,2:1,,1619654400.0,,0.89,1619740800.0,3.17,,0.0419,4067047.0,160456000.0,,,71.77,https://logo.clearbit.com/aosmith.com,Suite 170 PO Box 245008,,,,,
2,60064-6400,Healthcare,109000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],http://www.abbott.com,1.0,100 Abbott Park Road,Medical Devices,117.45,117.99,115.74058,0.013793103,0.47959998,,118.82,,4369087.0,,117.45,120.594574,1.62,117.99,,4369087.0,,,,1.8,1618358400.0,0.677005,,,117.33,2.0,USD,37.076153,3360321.0,,,,210215567360.0,,,5062658.0,5.63007,117.33,118.44,,900.0,3360321.0,128.54,21.868761,,1.78,86.16,118.34,False,0.0152,800.0,118.82,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EDT,False,-14400000,EQUITY,ABT,finmb_247483,us_market,,5.906,,0.1533,21.291,0.31062365,,5.41,,1776819968.0,,,18.889,13986254.0,0.007900001,,1609372800.0,0.75973,5693000192.0,3.191,0.45,0.41299164,6.2634335,0.00722,1672444800.0,1617148800.0,2.74,1617148800.0,1761379581.0,220513599488.0,,1357084800.0,10000:4798,,1618358400.0,,2.179,1619740800.0,1.49,,0.0081,13641906.0,,,,118.31,https://logo.clearbit.com/abbott.com,Abbott Park,,,,,
3,60064-6400,Healthcare,48000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1.0,1 North Waukegan Road,Drug Manufacturers—General,116.6,117.36,105.55362,0.042538594,1.7993,,117.59,,6238950.0,,116.6,110.45972,4.96,117.36,,6238950.0,,,,5.2,1618358400.0,0.805347,,,116.38,2.0,USD,39.9691,6046197.0,,,,205640990720.0,,,6902376.0,4.096842,116.38,116.87,,800.0,6046197.0,117.59,8.394377,,4.18,79.11,116.3,False,0.044699997,2200.0,117.59,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,False,-14400000,EQUITY,ABBV,finmb_141885706,us_market,,5.607,,0.10278,11.474,0.27287638,,13.87,,1766220032.0,,,7.765,14886118.0,0.0084,,1609372800.0,0.69415003,5088999936.0,2.913,1.3,0.41299164,14.994205,0.00123,1672444800.0,1617148800.0,2.3,1617148800.0,1732611125.0,281434259456.0,,,,,1618358400.0,,0.18,1619740800.0,2.13,,0.0084,16800575.0,,,,116.43,https://logo.clearbit.com/abbvie.com,,,,,,
4,01923,Healthcare,,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5 catheter, a percutaneous micro heart pump with integrated motor and sensors for use in interventional cardiology; and Impella CP, a device used by interventional cardiologists to support patients in the cath lab and cardiac surgeons in the heart surgery suite. It also provides Impella 5.0 and Impella LD, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; and Impella Connect, a cloud-based technology that enables secure, cloud-based, and remote viewing of the Automated Impella Controller for physicians and hospital staffs. In addition, the company engages in the development of Impella XR Sheath, a sheath designed to expand and recoil to all for ease of use upon insertion of an Impella heart pump and minimize the size of the arteriotomy; Impella BTR, a percutaneous micro heart pumps with integrated motors and sensors; and Impella ECP pump that is designed for blood flow of greater than three liters per minute. It sells its products through direct sales and clinical support personnel in the United States, Canada, Europe, and Asia. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],http://www.abiomed.com,1.0,22 Cherry Hill Drive,Medical Devices,262.71,266.28,305.26913,,0.0,,272.92,,319150.0,,262.71,317.028,,266.28,,319150.0,,,,,,1.283422,,,261.271,2.0,USD,54.364372,244102.0,,,,12157953024.0,,,289426.0,14.345295,261.271,268.49,,1100.0,244102.0,387.4,51.448277,,,188.37,260.01,False,,1000.0,272.92,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ABMD,finmb_247589,us_market,,13.661,,0.26610002,45.911,0.40570533,,5.22,,45270900.0,,,29.371,830622.0,0.0183,,1617148800.0,0.94291,225524992.0,4.94,,0.41299164,9.143713,0.02121,1680220800.0,1617148800.0,3.49,1617148800.0,44255973.0,11578030080.0,,970444800.0,2:1,,,,0.788,1619740800.0,4.43,,0.021,1183295.0,,,,268.56,https://logo.clearbit.com/abiomed.com,,978 777 8411,,,,
5,2,Technology,537000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utilities sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. The company was incorporated in 2009 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],http://www.accenture.com,1.0,1 Grand Canal Square,Information Technology Services,285.32,286.86,260.4177,0.0120566385,0.39810002,,290.97,,1573587.0,,285.32,286.5137,3.44,286.86,,1573587.0,,,,3.52,1618358400.0,1.092513,,,286.617,2.0,USD,34.10651,1285600.0,,,,183193468928.0,,,2064309.0,4.0106387,286.617,292.47,,3200.0,1285600.0,294.5,30.692226,,1.63,188.11,288.46,False,0.012200001,1200.0,290.97,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,False,-14400000,EQUITY,ACN,finmb_972190,us_market,,3.898,,0.11946999,23.46,0.495201,,9.39,,635646976.0,,,28.802,4508799.0,0.0070999996,,1598832000.0,0.73203003,5457266176.0,8.45,0.88,0.41299164,10.00625,0.00126,1661904000.0,1614470400.0,2.46,1617148800.0,632888496.0,178032214016.0,,1325203200.0,10:1,,1618358400.0,,0.167,1619740800.0,3.51,,0.0070999996,4971633.0,661662016.0,,,288.2,https://logo.clearbit.com/accenture.com,Grand Canal Harbour,353 1 646 2020,,,,
6,90405,Communication Services,9500.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],http://www.activisionblizzard.com,1.0,3100 Ocean Park Boulevard,Electronic Gaming & Multimedia,93.42,94.4,89.92602,0.0050310427,0.1385,,94.4,,6848325.0,,93.42,94.08428,0.47,94.4,,6848325.0,,,,0.47,1618358400.0,0.608556,,,93.06,2.0,USD,31.53716,3656387.0,,,,72534540288.0,,,5963812.0,8.460812,93.06,93.98,,1000.0,3656387.0,104.53,20.97753,,0.58,66.59,93.4,False,0.005,1000.0,94.4,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ATVI,finmb_4222231,us_market,,7.772,,0.26957,20.914,0.2808727,,4.45,,777017024.0,,,19.734,10656870.0,0.0137,,1609372800.0,0.88475,2311000064.0,2.96,0.47,0.41299164,4.7304144,0.00808,1672444800.0,1617148800.0,1.85,1617148800.0,770396576.0,66632515584.0,,1220832000.0,2:1,,1618358400.0,,0.226,1619740800.0,1.34,,0.0138,12959491.0,,,,93.35,https://logo.clearbit.com/activisionblizzard.com,,,,,,
7,95110-2704,Technology,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1.0,345 Park Avenue,Software—Infrastructure,474.16,481.63,478.7403,,0.0,,488.32,,2070300.0,,474.16,497.48657,,481.63,,2070300.0,,,,,1111622400.0,0.945989,,,478.76,2.0,USD,42.361134,1857198.0,,,,232575680512.0,,,2569312.0,16.998661,478.76,488.95,,900.0,1857198.0,536.88,35.56725,,,361.44,484.17,False,,900.0,488.32,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,False,-14400000,EQUITY,ADBE,finmb_24321,us_market,,16.547,,0.40681,42.451,0.32228172,,13.68,,478000000.0,,,28.28,5424898.0,0.0113,,1606435200.0,0.8553,5566000128.0,11.486,0.0065,0.41299164,17.205091,0.0030899998,1669507200.0,1614902400.0,2.69,1617148800.0,476088000.0,226392473600.0,,1116892800.0,2:1,,1111622400.0,,0.32,1619740800.0,2.48,,0.0114,5202840.0,,,,486.56,https://logo.clearbit.com/adobe.com,,408 537 6000,,,,
8,27604,Consumer Cyclical,40000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],http://www.advanceautoparts.com,1.0,2635 East Millbrook Road,Specialty Retail,204.5,205.76,169.3708,0.004889976,0.1401,,206.46,,618875.0,,204.5,194.46,1.0,205.76,,618875.0,,,,4.0,1623888000.0,1.365775,,,201.14,2.0,USD,28.404762,594750.0,,,,13235582976.0,,,866198.0,1.3096342,201.14,204.61,,800.0,594750.0,210.18,17.245749,,0.25,128.16,202.97,False,0.0197,1100.0,206.46,NYQ,Advance Auto Parts Inc Advance ,"Advance Auto Parts, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AAP,finmb_24333,us_market,,1.569,,0.048779998,15.1,0.54686904,,11.76,,65261000.0,,,54.079,3705992.0,0.056799997,,1609545600.0,1.0449,493020992.0,7.14,0.25,0.41299164,3.7502544,0.00405,1672617600.0,1609545600.0,4.88,1617148800.0,60594073.0,15854569472.0,,1127692800.0,3:2,,1616025600.0,,0.168,1619740800.0,1.59,,0.0639,3001252.0,,,,202.81,https://logo.clearbit.com/advanceautoparts.com,,,,,,
9,95054,Technology,12600.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],http://www.amd.com,1.0,2485 Augustine Drive,Semiconductors,73.09,74.02,85.221954,,0.0,,75.0274,,42936300.0,,73.09,79.846,,74.02,,42936300.0,,,,,798940800.0,2.027272,,,72.7201,2.0,USD,31.31402,38355787.0,,,,90628341760.0,,,44873165.0,7.934542,72.7201,75.19,,3100.0,38355787.0,99.23,27.523983,,,48.42,75.15,False,,1100.0,75.0274,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMD,finmb_168864,us_market,,7.71,,0.25241,39.884,0.36636746,,2.71,,1215020032.0,,,5.331,85224498.0,0.0701,,1608940800.0,0.77799004,2883000064.0,2.382,,0.41299164,13.991746,0.00522,1672012800.0,1616803200.0,1.83,1617148800.0,1202749264.0,88063418368.0,,966902400.0,2:1,,,,2.426,1619740800.0,1.39,,0.0705,81563521.0,,,,74.59,https://logo.clearbit.com/amd.com,,,,,,
